platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing
fastwork,Web dan Pemrograman,Web Development,Pembuatan Aplikasi Rest API Backend (CRUD) dan Bug Fixing,1400000.0,5.0,25.0,2.0,,https://fastwork.id/user/ghbiavnu/web-development-39691712?badges=milestone&page=1&position=24&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website WordPress Profesional & SEO Friendly,1400000.0,,,2.0,"WordPress, SEO",https://fastwork.id/user/fajar_prayoga/web-development-10570719?badges=&page=1&position=25&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Company Profile, E-Commerce, Toko Online, dan Custom Website Berkualitas",1500000.0,4.9,197.0,5.0,,https://fastwork.id/user/evins1/web-development-15200801?badges=milestone&page=1&position=26&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Sistem Aplikasi Web Custom (Sistem Informasi - CMS, Office, Sekolah, Restoran, Toko Online)",2200000.0,5.0,64.0,14.0,,https://fastwork.id/user/adrasman/web-development-56621913?badges=milestone&page=1&position=27&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Landing Page Fokus untuk Konversi & Lead Generation Iklan Meta dan Google Ads,1400000.0,,1.0,7.0,Google Ads,https://fastwork.id/user/rismariestt/web-development-21538834?badges=milestone&page=1&position=28&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Buat Website Streaming Anime Sub Indo 60RB+ Episode,1450000.0,5.0,3.0,2.0,,https://fastwork.id/user/syiamsi/web-development-26599373?badges=&page=1&position=29&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website Profesional (Landing Page, Company Profile, Toko Online, Blog, Wordpress)",1000000.0,4.9,14.0,3.0,WordPress,https://fastwork.id/user/mosyukron/web-development-40274536?badges=&page=1&position=30&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Page, Website dan Aplikasi dengan Microsoft PowerApps",1400000.0,4.7,1.0,7.0,,https://fastwork.id/user/ferrikrisdiantoro/web-development-45416472?badges=milestone&page=1&position=31&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Paket Website Profesional (Wordpress) dan Set Digital Marketing,2500000.0,4.9,221.0,10.0,WordPress,https://fastwork.id/user/goweb85/web-development-56461760?badges=milestone&page=1&position=32&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Wordpress,1400000.0,5.0,5.0,1.0,WordPress,https://fastwork.id/user/dnvsyh/web-development-74993024?badges=milestone%2Crehire&page=1&position=33&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Bikin Website / Install / Setting / Fix Error Website Murah Berkualitas,1400000.0,5.0,7.0,3.0,,https://fastwork.id/user/sendyland/web-development-50680686?badges=&page=1&position=34&source=browse&subcategorySlug=web-development
