platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,url_listing,harga_raw,rating_raw,jumlah_order_raw
sribu,Web dan Pemrograman,Web Development,Buat Landing Page Website 1 Hari Jadi,,,,https://www.sribu.com/id/users/kahlil09/buat-landing-page-website-1-hari-jadi-b4b6e431-06f8-4f93-88da-63dd7078dc5a,,,
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Profil Perusahaan Modern,,,,https://www.sribu.com/id/users/silverterra61/jasa-pembuatan-website-profil-perusahaan-modern-a448d7a7-bf1c-43d4-aedf-962c7fef7229,,,
sribu,Web dan Pemrograman,Web Development,Pembuatan website Content Management System (CMS) blog,,,,https://www.sribu.com/id/users/adibhaidarzaky/pembuatan-website-content-management-system-cms-blog-e7d63185-6178-4ad8-a3d7-6ed529c9aa7b,,,
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website tanpa koding,,,,https://www.sribu.com/id/users/ujang_art/jasa-pembuatan-website-tanpa-koding-4e8bdf21-ad33-4dac-833a-f51ad26a1397,,,
sribu,Web dan Pemrograman,Web Development,"Landing Page HTML/CSS/JS Cepat, Bersih, dan Mobile",,,,https://www.sribu.com/id/users/KingQuery/landing-page-htmlcssjs-cepat-bersih-dan-mobile-f0e29f00-6f52-409a-bf6b-6e1f0af0d644,,,
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Landing Page,,,,https://www.sribu.com/id/users/silverterra61/jasa-pembuatan-landing-page-5f851f48-d5be-48da-b588-7844f54372eb,,,
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Portfolio,,,,https://www.sribu.com/id/users/mhmdadity27/jasa-pembuatan-website-portfolio-6762e366-dd3d-42d2-b52e-afb89dd59d47,,,
sribu,Web dan Pemrograman,Web Development,Pembuatan Web Wordpress Divi 5 Themes Profesional,,,,https://www.sribu.com/id/users/papidzaky/pembuatan-web-wordpress-divi-5-themes-profesional-ecd181a0-41ec-43c5-81b5-b401edfbd557,,,
sribu,Web dan Pemrograman,Web Development,"Wordpress Specialist Company Profile, Blog, Landing page, Ecommerce, Rent, Booking & Appointment",,,,https://www.sribu.com/id/users/andanirizwan/wordpress-specialist-company-profile-blog-landing-page-ecommerce-rent-booking-and-appointment-e4fccea9-fb44-4096-bebe-2139bb79ecda,,,
sribu,Web dan Pemrograman,Web Development,Jasa Website untuk UMKM  Bisnis Agar Lebih Profes,,,,https://www.sribu.com/id/users/artiero_/jasa-website-untuk-umkm-bisnis-agar-lebih-profes-824df4bb-bdc4-42e1-836e-b98b2e3dd1b9,,,
sribu,Web dan Pemrograman,Web Development,JASA BIKIN WEBSITE PROFESIONAL FREE CUSTOM REQUEST,,,,https://www.sribu.com/id/users/abngpetrick/jasa-bikin-website-profesional-free-custom-request-cb75d0bd-caa4-4afe-af6a-4f1628ed39d0,,,
sribu,Web dan Pemrograman,Web Development,Website Company Profile,,,,https://www.sribu.com/id/users/iamyefta/website-company-profile-477fdb4a-8475-4b17-99a7-a7bb42ac3d6c,,,
sribu,Web dan Pemrograman,Web Development,Pembuatan Landing Page Modern,,,,https://www.sribu.com/id/users/vikaputri/pembuatan-landing-page-modern-b55f61f6-1017-4e66-8389-20357a4d2ae6,,,
