platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing,harga_raw,rating_raw,jumlah_order_raw,durasi_raw
sribu,Web dan Pemrograman,Web Development,Modifikasi Tampilan Website Murah Dan Profesional,99000.0,5.0,,2.0,,https://www.sribu.com/id/users/emreadone/modifikasi-tampilan-website-murah-dan-profesional-7f776d80-5848-49e4-b631-1014bbbb6a69,Rp99.000,5.0,Ulasan dari Pembeli,2 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Landing Page Design & Development,1300000.0,5.0,,7.0,,https://www.sribu.com/id/users/krisanputih/landing-page-design-and-development-26a36aee-79df-4a9e-9f33-2a79e0f8bbbb,Rp1.300.000,5.0,,7 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Toko Online, Website Marketplace, Website E-Commerce Murah dan Berkualitas",1500000.0,4.7,,7.0,,https://www.sribu.com/id/users/evinsaputra/jasa-pembuatan-website-toko-online-website-marketplace-website-e-commerce-murah-dan-berkualitas-2bc81ec5-3ba1-40e1-9cae-578f9864aec6,Rp1.500.000,4.7,Ulasan dari Pembeli,7 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Modifikasi Tampilan Website Wordpress,700000.0,4.8,,1.0,WordPress,https://www.sribu.com/id/users/webCraftstudio/modifikasi-tampilan-website-wordpress-8566d02c-f336-4a65-9660-847000853732,Rp700.000,4.8,Ulasan dari Pembeli,Respon Chat2 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Pembuatan Landing Page (Bulanan),5700000.0,5.0,,30.0,,https://www.sribu.com/id/users/rispani/pembuatan-landing-page-bulanan-9b85d149-7777-4c18-9381-1e84f95da9cf,Rp5.700.000,5.0,Ulasan dari Pembeli,30 Hari Pengerjaan99 Revisi
sribu,Web dan Pemrograman,Web Development,Website Company Profile,3000000.0,5.0,,3.0,,https://www.sribu.com/id/users/wiellyam/website-company-profile-6b92031b-920a-421e-bbb6-2ec4156d6523,Rp3.000.000,5.0,Ulasan dari Pembeli,3 Hari Pengerjaan5 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Wordpress Custom Design,1800000.0,5.0,,1.0,WordPress,https://www.sribu.com/id/users/nanang79/jasa-pembuatan-website-wordpress-custom-design-f3e482f5-30e6-4550-8cdb-3f40ab5de11c,Rp1.800.000,5.0,,Respon Chat13 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Desain Website WordPress dengan Elementor,199000.0,5.0,,9679.0,WordPress,https://www.sribu.com/id/users/abdulmuhajir/desain-website-wordpress-dengan-elementor-6afc666f-c2fc-4150-a17f-bcaadd020f48,Rp199.000,5.0,Ulasan dari Pembeli,Promo berakhir dalam 9679 Hari Lagi!
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Profesional,1000000.0,5.0,,7.0,,https://www.sribu.com/id/users/azdev/pembuatan-website-profesional-a365da60-3d59-4b85-90f0-b19c5e4845c5,Rp1.000.000,5.0,,7 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Landing Page Website Profesional dan Modern,1050000.0,5.0,,1.0,,https://www.sribu.com/id/users/fabianpermadi/landing-page-website-profesional-dan-modern-bd800a68-b644-41bd-b07d-39bbc72d65da,Rp1.050.000,5.0,,Respon Chat4 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Pembuatan Landing Page Modern,1000000.0,5.0,,1.0,,https://www.sribu.com/id/users/vikaputri/pembuatan-landing-page-modern-b55f61f6-1017-4e66-8389-20357a4d2ae6,Rp1.000.000,5.0,,Respon Chat4 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Full Stack Web Development JavaScript/PHP/Laravel ,7500000.0,5.0,3.0,20.0,"Laravel, PHP, JavaScript",https://www.sribu.com/id/users/krisanputih/full-stack-web-development-javascriptphplaravel-1985c754-e3a9-46af-bf17-dfe8119aaa31,Rp7.500.000,5.0,3Klien mereview desain UI/UX,20 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Sistem Informasi Manajemen Bengkel  POS,5000000.0,5.0,,1.0,,https://www.sribu.com/id/users/vikaputri/sistem-informasi-manajemen-bengkel-pos-4f8c1531-7150-4a0f-8c28-d75d15c37b2b,Rp5.000.000,5.0,,Respon Chat4 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Aplikasi Ujian Online,8000000.0,5.0,,1.0,,https://www.sribu.com/id/users/vikaputri/aplikasi-ujian-online-dd6b09f8-74c7-4dad-b77b-fac1333c9b9e,Rp8.000.000,5.0,,Respon Chat4 jamProyek Berjalan1
